,Title,State,Created_at,Updated_at,Closed_at,Author,Details,Comments,Id
200,Follow common developer approach for error handling in transactions,open,2019-06-26T07:32:45Z,2020-01-31T09:41:43Z,,CONTRIBUTOR,"From start we are targeting and speaking about our Lisk SDK, is the first of its kind in JavaScript that will make blockchain accessible to everyone. 

With that said, we should keep in mind that developers with different experience levels and even very beginners will also work with our SDK. So we should keep in mind the common developer approach to write program. 

Or easy to say we should not neglect basic language patterns which every one is familiar of. One of that is `if you have error throw it`. This is very common for developers and they must be familiar and doing this a lot in other projects, which is the user of `throw`. 

Current transaction processing logic does not allow you to throw error, rather we enforce a pattern to collect errors and return as array object from transaction steps `apply` and `undo`. Which could be an additional behaviour for our transaction processing, but we should not neglect the user of `throw` as its very basic language struct. 

We should refactor the processing logic to handle all of below given scenarios; 

```js
apply(store) {
  if(some_condition) {
     throw new Error('Some error in validation.') ;
  }
}
```

```js
apply(store) {
  if(some_condition) {
     return new Error('Some error in validation.') ;
  }
}
```

```js
apply(store) {
  const errors = [];
  if(some_condition) {
     errors.push(new Error('Some error in validation.')); 
  }
  return errors; 
}
```

This also relates to the fact that `enforcing a return value even empty array`, is also against the Javascript paradigm. Yes its an integral concept of functional programming, but our SDK is not here to enforce people to learn functional programming. They should be able to use the Javascript the way they are already doing.  

### Which version(s) does this affect? (Environment, OS, etc...)
2.1.0","@shuse2 I see @nazarhussain 's point that throwing is easier to understand and intuitive for developers of custom transactions. However I feel most custom transaction users will benefit from seeing all the validation errors at once, as opposed to one-by-one. Enforcing returned error array at the end ensures we won't have this bad user experience.",50873641
201,"Rename transaction steps to ""apply"" and ""undo""",open,2019-06-26T07:20:52Z,2019-07-09T07:42:06Z,,CONTRIBUTOR,"The `Transaction` interface is the primary and major interaction for most of the Lisk SDK Developers. So the interfaces presented there must be generic and easy to understand specially without detail explanations. 

Currently we have the transaction steps `prepare`, `applyAsset` and `undoAsset`. These are the three interfaces which everyone have to implement for any custom transaction. The first step `prepare` seems straight forward to understand what it would be. But for next two steps `applyAsset` and `undoAsset` we are mixing up a complete concept **Asset** there, while the steps are not just mutate asset also can change non-asset attributes as well. And with that concept, people can get confused if its the asset of account or asset of transaction. 

So we need to rename those steps to particular verbs, that will make them easy to read and understand the transaction interface, as well to explain.

```js
class MyTransaction extends BaseTransaction {
   prepare(store) {}
   apply(store) {}
   undo(store) {}
}
```

### Which version(s) does this affect? (Environment, OS, etc...)
2.1.x","What about rename it to `applyState`?
Or if one want to be more specific, `applyAccountState`?",50873641
202,Use channel instead of event emitter,open,2019-06-17T07:23:45Z,2019-07-03T16:25:25Z,,CONTRIBUTOR,"### Expected behavior
Within module, it should consistently use channel instead of event emitter.
Event emitter can handle internal events within modules too.

### Actual behavior
Event emitter was used when removing `bus`

### Which version(s) does this affect? (Environment, OS, etc...)
2.2-",Let's remember to have into account potential cases described in https://github.com/LiskHQ/lisk-sdk/issues/3539 ,50873641
203,Cleanup lisk-validator,open,2019-06-14T14:40:25Z,2019-07-29T09:23:53Z,,CONTRIBUTOR,"### Expected behavior

usage of inline vs imported callbacks is consistent 

### Actual behavior

Some formats are defined as functions in ./validation, some as inline functions in this file. We should use a consistent approach.

### Steps to reproduce

### Which version(s) does this affect? (Environment, OS, etc...)
",,50873641
204,For schemaId use $id instead of id,open,2019-06-14T13:20:34Z,2019-07-29T09:24:36Z,,CONTRIBUTOR,"### Expected behavior

- `$id` is used in schemas
- schemaId in the Ajv configuration uses `$id` instead of `auto`

### Actual behavior

- `id` is used in schemas
- schemaId in the Ajv configuration uses  `auto` instead of `$id`

### Steps to reproduce

### Which version(s) does this affect? (Environment, OS, etc...)
",,50873641
205,Improve validator in framework to separate default and validation,open,2019-06-12T15:39:31Z,2019-06-12T15:53:45Z,,CONTRIBUTOR,"### Expected behavior
TBD

### Actual behavior

### Steps to reproduce

### Which version(s) does this affect? (Environment, OS, etc...)
",,50873641
206,Log framework migration process,open,2019-05-23T08:55:54Z,2020-02-03T15:43:43Z,,CONTRIBUTOR,"### Expected behavior
When the Controller loads the migrations in `_loadMigrations` method, it should log the process showing the migration and namespace as it runs.

### Actual behavior
There is no log

### Steps to reproduce
Start the application. Check the logs.

### Which version(s) does this affect? (Environment, OS, etc...)
2.2",REF.: https://github.com/LiskHQ/lisk-sdk/pull/3701#pullrequestreview-240674925,50873641
207,ChildProcessChannel can not subscribe,open,2019-05-20T13:17:51Z,2019-05-20T13:17:51Z,,CONTRIBUTOR,"### Expected behavior
ChildProcessChannel should be able to listen events coming from other childProcessChannels.
### Actual behavior
ChildProcessChannels can not subscribe events that coming from other child process channels.

Blocking #3118 
### Steps to reproduce

### Which version(s) does this affect? (Environment, OS, etc...)
v.2.2.0",,50873641
208,Missing events for module unloading lifecycle as specified in LIP,open,2019-05-15T13:54:14Z,2019-05-15T13:56:28Z,,CONTRIBUTOR,"### Expected behavior

We specified few events in the LIP under section [Default Events & Actions](https://github.com/LiskHQ/lips/blob/master/proposals/lip-0005.md#default-events--actions) 
For three events that will be published during the unloading life cycle of any module. 

- module:unloading:started
- module:unloading:error
- module:unloading:finished

### Actual behavior

Currently we don't publish any event during the unloading lifecycle of the module. 

### Which version(s) does this affect? (Environment, OS, etc...)
2.0.0",,50873641
209,Unify Endianness of Transactions and Blocks signature,open,2019-05-09T07:52:05Z,2019-05-09T07:52:05Z,,CONTRIBUTOR,"### Expected behavior
There is no reason to use different Endianness (sometimes Little, sometimes Big Endian) while calculating or verifying the signature for transactions and blocks.

Suggestion: Decide on Big Endian and apply consistently. 

The rules for generating transactions signature are nice to have from the perspective of developers creating new transaction types and implementing `getBytes` functions for them.

### Actual behavior


Bytes | Property | Endianness | Note
-- | -- | -- | --
TRANSACTION
1 | type (int) | BE | No difference for 1 byte
4 | timestamp (int) | LE | Buffer.writeIntLE
32 | senderPublicKey | BE | Buffer.from
8 | recipientId | BE | BigNum(’12324’).toBuffer({ 8 endian: 'big' })
8 | amount | LE | BigNum(amount).toBuffer({ size: 8 endian: ‘little’ })
BLOCK
4 | version (int) | LE | byteBuffer.writeInt
4 | timestamp (int) | LE | byteBuffer.writeInt
8 | previousBlockfor loop | BE |  
4 | numOfTransactions (int) | LE | byteBuffer.writeInt
8 | totalAmount (long) | LE | byteBuffer.writeLong
8 | totalFee (long) | LE | byteBuffer.writeLong
8 | reward (long) | LE | byteBuffer.writeLong
4 | payloadngth (int) | LE | byteBuffer.writeInt
32 | payloadHash | BE | for loop
32 | generatorPublicKey | BE | for loop
64 | blockSignature or unused | BE | for loop


There is also `byteBuffer.flip();` at the end of Block's bytes generation.

### Which version(s) does this affect? (Environment, OS, etc...)
`*`",,50873641
210,Improve the use of actions meta information in the network module,open,2019-05-08T14:57:43Z,2020-01-21T09:24:55Z,,CONTRIBUTOR,"### Expected behavior

Currently we can define `actions` as an object. 

```
{
   handler: () => {},
   prop1: true, 
   prop2: 'val'
}
```
Where an action can have different meta information specified along with the handler. We need to provide an alternative way to access all this information in any module. So modules can use this information based on their own business logic. 

### Actual behavior

Currenlty `network` module expect to have `public: true` for actions which are allowed to be executed on network. For such a specific implementation only for network module, we exposed a method in `invokePublic` on all channels, which is unnecessary and not extensible implementation for future use cases.  


### Which version(s) does this affect? (Environment, OS, etc...)
2.0.0",Related to #3358 ,50873641
211,Avoid using helpers from underlying library instead use the adapter ,open,2019-05-08T12:12:12Z,2020-02-03T15:43:43Z,,CONTRIBUTOR,"### Expected behavior

We should avoid using helper or functions from any underlying library in general if we have a wrapper for it. We are wrapping the pgp library with `pgpAdapter` in our storage component, so we should avoid using directly any helper. 

Either the logic should be executed by a specific SQL file or the functionality should be wrapped in the `pgpAdapter`. 

### Actual behavior

There are couple of such usage in the tests. 

https://github.com/LiskHQ/lisk-sdk/blob/eedad04d2e8e6726f337db73a83f38dfcbec1e91/framework/test/mocha/integration/blocks/process/process.js#L93

https://github.com/LiskHQ/lisk-sdk/blob/eedad04d2e8e6726f337db73a83f38dfcbec1e91/framework/test/mocha/integration/blocks/process/process.js#L99

### Which version(s) does this affect? (Environment, OS, etc...)
Not specific",,50873641
212,Avoid Event Missusages,open,2019-05-07T15:25:40Z,2020-01-31T09:41:43Z,,CONTRIBUTOR,"### Expected behavior

We need to make sure events are used for its intended purpose only; currently different modules could be using registered events passing different event.data causing the subscribers to get more than one event and potentially causing unexpected side effects in different modules.
We should also probably document what's the intended use for existing events. 

### Actual behavior

Events can be fired with different data and subscriber can potentially behave erratically

### Steps to reproduce

- Emit a registered event that's in use and send random data or data that's not the expected by the subscribers

### Which version(s) does this affect? (Environment, OS, etc...)
","Example pseudo-stack which might cause failures

Original Stack:

1. FileA.js -> channel.subscribe('event:xyz', cb);
2. FileB.js -> channel.publish('event:xyz', `{ foo: 'bar', value: 42}`);
3. FileA.js -> executes actions expecting `{ foo: 'bar', value: 42}`

All good so far


New Stack due to someone reusing an existing event:

1. FileA.js -> channel.subscribe('event:xyz', cb);
2. FileC.js -> channel.publish('event:zyz', `['radio', 'head', 'pearl', 'jam']`);
3. FileB.js -> channel.publish('event:xyz', `{ foo: 'bar', value: 42}`);
4. FileA.js -> executes actions expecting `{ foo: 'bar', value: 42}` but first gets `['radio', 'head', 'pearl', 'jam']`

As the subscriber is probably expecting an schema the new first publishing to `event:zyz` with different schema will make it fail.",50873641
213,Refine the application config JSON structure ,open,2019-05-06T13:21:53Z,2020-03-19T08:10:44Z,,CONTRIBUTOR,"Creating application with Lisk SDK should be easy and with the shortest possible code. 

To create an application we can pass set of configuration to the constructor. 

```js
const app = new Application(genesisBlock, config); 
```

The current implementation suggest for following structure for the configuration. 

```js
{
   app: {
      label: 'myApp',
      version: '1.0.0',
      genesisConfig: {}
   },
   modules: {},
   components: {},
}
```

This makes it less intuitive for user to relate and pass the configuration of application and the structure logically takes the application with the same levels of modules. So to just change the label of the application. 

```js
const app = new Application(genesisBlock, { app: { label: 'myApp' } }); 
```

We suggest to change the structure of JSON param so that application level configuration get flattered and appear on top level. 

```js
const app = new Application(genesisBlock, { label: 'myApp' }); 
```

After the change the configuration would be look like: 

```js
{
   label: 'myApp',
   version: '1.0.0',
   genesisConfig: {}
   modules: {},
   components: {},
}
```

### Which version(s) does this affect? (Environment, OS, etc...)
2.0.0",,50873641
214,Enable log rotation with bunyan,open,2019-05-06T13:13:29Z,2020-01-31T09:41:43Z,,MEMBER,"### Expected behavior

The built-in log rotation of Bunyan should be enabled by default with reasonable values.

The log rotation should be configurable inside of `config.json` or with `ENV` variables.

### Actual behavior

Log rotation has to be manually and separately set up as post-installation step of Lisk Core.

### Steps to reproduce

### Which version(s) does this affect? (Environment, OS, etc...)
v1.6.0",,50873641
215,Improve network test to be fast and stable,open,2019-04-17T09:34:12Z,2020-02-03T15:43:43Z,,CONTRIBUTOR,"### Description

Currently network test takes long time to run and randomly fails.
It should be consistently pass and fast to run the test.
",,50873641
216,Add unconfirmed transaction check in the network test for framework,open,2019-04-17T09:30:38Z,2020-02-03T15:43:43Z,,CONTRIBUTOR,"### Description
Addition to existing tests in the network test, it should have unconfirmed transaction test
",,50873641
217,Add test against built files by typescript,open,2018-10-01T08:06:45Z,2020-01-31T09:41:54Z,,CONTRIBUTOR,"### Description
`test:node` should run the test against built files on `dist-node`.
However, after moving to typescript it's disabled.

It cannot be done only by typescript https://github.com/Microsoft/TypeScript/issues/10866.

Therefore, we need to consider benefit of adding this test against increasing the build complexity.",,50873641
218,Add browser field in package.json,open,2018-11-16T11:35:13Z,2020-03-10T16:32:36Z,,CONTRIBUTOR,"### Description
Browser field should be re-introduced in the `package.json`

With the correct setup, `browserify` reads the browser field and it fails, but with `--no-browser-field, --no-bf`, it doesn't replace the node variable correct.

related: https://github.com/browserify/browserify/pull/1826

#### Remarks
- Check in browser
- Check in Lisk-Hub
- Check in Lisk-Mobile","The referred PR in the browserify is not merged yet, so I asked the question there as well.
I tried the latest browserify release but it also doesn't work.

In the mean time, in which environment are you having the problem with? @JesusTheHun ",50873641
219,Passphrase validation should handle error message for invalid length,open,2018-12-11T15:53:45Z,2020-01-31T09:41:54Z,,MEMBER,"### Expected behaviour

When user inputs invalid passphrase with an invalid number of words between 12 and 24 then it should return an error with a proper message.
It should return the error with message `Passphrase must contain either 12, 15, 18, 21 or 24 words.`

### Actual behaviour
It gives ambiguous message. For example,
`Passphrase contains 17 words instead of expected 12. Please check the passphrase.` when use inputs 17 words.

### Steps to reproduce

`getPassphraseValidationErrors(passphrase)`

where a `passphrase` has an invalid number of words i.e, other than 12, 15, 18, 21 or 24 words.

### Which version(s) does this effect? (Environment, OS, etc...)
","the last input of `getPassphraseValidationErrors` is expectedWords.
In the current implementation, we do not allow dynamic word count, so I think the error message is correct.",50873641
220,Create integration tests for transactions module,open,2019-01-16T13:46:47Z,2020-01-31T09:41:54Z,,CONTRIBUTOR,"### Expected behavior

Transactions Module needs integration tests without stubbing.

### Actual behavior

Currently has none.

",,50873641
221,Typescript types should be exported?,open,2019-02-18T17:33:52Z,2020-01-31T09:41:43Z,,NONE,"### Expected behavior

E.g. I'd like to build the transaction object for the `transfer()` and I'd like to assign the types for it. In that case I'd import transfer and TransferInputs as following:

`import {transfer, TransferInputs} from ""@liskhq/lisk-transactions/"";
`

### Actual behavior

Unfortunately TransferInputs is not exported in @liskhq/lisk-transactions/ therefore I'd need to do:

```
import {transfer} from ""@liskhq/lisk-transactions/"";
import { TransferInputs } from '@liskhq/lisk-transactions/dist-node/0_transfer'
```

### Steps to reproduce
See ""Actual behavior"" section

### Which version(s) does this affect? (Environment, OS, etc...)
Latest
","Hello @nerdvibe, 
Thank you for the information.
Instead of doing 
```
 const transaction: TransferInputs = {
    amount,
    recipientId: address,
    passphrase
  };

  if (secondPassphrase) {
    // This doesn't really work since the type of secondPassphrase is readonly, but in theory this was my suggestion.
    transaction.secondPassphrase = secondPassphrase;
  }
```
what you could do is below
```
 const transaction = {
    amount,
    recipientId: address,
    passphrase,
    secondPassphrase,
  };

  return transfer(transaction);
```
or ultimately you can directly insert the input of `createTransaction`.
If you use typescript, it should internally check if the object properties match with `TransferInputs` internally.
Please let me know if it doesn't work!",50873641
222,Request to add 'all' option to 'list' command,open,2017-08-03T18:57:06Z,2020-01-31T09:41:54Z,,NONE,"## Lisky is missing an option to list all delegates, addresses, blocks, etc.

I thought

**`list -a (--all) delegates`**

and @4fryn bring up `-n` option

**`list delegates -n 101`**","Maybe a default limiter to show 20 or 50 entries until the user interacts, like `enter to show more` or something similar.",50873641
223,Add integration tests for lisk-commander,open,2018-09-04T11:55:34Z,2020-01-31T09:41:54Z,,CONTRIBUTOR,"### Description

Currently, all the tests are unit tests with stubs.
We should add integration tests without stubs.
",,50873641
224,Shows MaxListenersExceeded warning in tests when adding event listener on process,open,2018-09-21T15:36:28Z,2020-01-31T09:41:54Z,,CONTRIBUTOR,"### Description

When adding event listener (to handle errors) directly on process or process.stdin/stdout in `/src/base.js`, mocha tests show warning: 

```
MaxListenersExceededWarning: Possible EventEmitter memory leak detected. 
11 error listeners added. 
Use emitter.setMaxListeners() to increase limit 
```

Possibly related to https://github.com/mochajs/mocha/issues/117

**Reproduces how often:**
Always

### Versions

2.0-
",,50873641
225,Node modules are too big after 2.0,open,2018-11-06T08:22:16Z,2020-01-31T09:41:54Z,,CONTRIBUTOR,"### Description

After `2.0`, node_modules size increased significantly to ~200M even with `--production` flag enabled.
It includes `nyc` and `eslint` along with a lot of libraries.

### Steps to Reproduce

```
npm i -g --production lisk-commander@beta
which lisk
```
and check node_modules content

### Versions

2.0-


",,50873641
226,Add validate address command,open,2018-11-19T08:59:52Z,2020-01-31T09:41:54Z,,NONE,As title,,50873641
227,How to judge broadcast is success when use command transaction:broadcast,open,2018-11-21T08:43:10Z,2020-01-31T09:41:54Z,,NONE,"**Expected behavior:** transaction:broadcast  return a flag whether broadcast is success 

**Actual behavior:** It return ```{""message"":""Transaction(s) accepted""}```

","> When `transaction:broadcast` returns `{""message"":""Transaction(s) accepted""}`, it means the transaction is accepted by a node.
> 
> However, it could be rejected later depending on the network decision,
> 
> Having said that, you want to have something like this?
> 
> ```
> {
>   ""success"": true,
>   ""message"":""Transaction(s) accepted""
> }
> ```

yes",50873641
228,Fix piping transaction:create:second-passphrase to transaction:broadcast error,open,2018-12-11T14:05:25Z,2020-01-31T09:41:54Z,,CONTRIBUTOR,"### Description

Since v2.0 `lisk transaction:create:second-passphrase --passphrase=""pass:first pass"" --second-passphrase=""pass:second pass"" | lisk transaction:broadcast` returns inconsitent results (sometimes `No Transaction was provided).  

### Steps to Reproduce

1. npm i lisk-commander@v2.0.0
2. lisk transaction:create:second-passphrase --passphrase=""pass:xxx"" --second-passphrase=""pass:xxx"" | lisk transaction:broadcast


**Expected behavior:** 

It should pipe transaction to broadcast

**Actual behavior:** 

Not piped

**Reproduces how often:**  90%

### Versions
v2.0.0

### Additional Information
","Stop playing and drinking coffee, get rid of dependence, do it your way and fix it eventually",50873641
229,Find a strategy to disable file logger in test environment,open,2019-04-08T15:29:00Z,2019-04-08T15:47:49Z,,CONTRIBUTOR,"### Expected behavior
We don't have to create log files during unit tests.
### Actual behavior
We are creating log files which is unnecessary.
### Steps to reproduce

### Which version(s) does this affect? (Environment, OS, etc...)
",,50873641
230,Remove usage of default and formatting from validation,open,2019-04-06T12:17:56Z,2020-01-31T09:41:43Z,,CONTRIBUTOR,"### Description

Currently, default and formatting are defined in the validation.
However, validation should not concern default or formatting.

Setting default or formatting should be performed prior to the validation.",,50873641
231,Allow some modules to publish any event,open,2019-04-04T13:56:28Z,2020-01-31T09:41:43Z,,CONTRIBUTOR,"### Expected behavior

Sometimes a module may want to publish events which it only knows at runtime.
For example, the Network module should be able to publish any kind of event on the node (depending on messages it receives from the network).

### Actual behavior

Currently, the module needs to specify the complete list of events that it exposes during boot. This can be useful in terms of imposing constraints for some modules but it's too restrictive for modules like the network module. There should be a way for a module to specify that it can publish any event (maybe a wildcard `'*'`?).

In the `feature/create_network_module` branch, the constraint was disabled completely so that any module can publish any event.

","Some possible approaches (this may change):

Subscribing to a remote event (from a remote peer module):

```js
// Subscribe to the postBlock event from a remote chain module
channel.subscribe('network:chain:postBlock', handlerFunction);

// Subscribe to all remote events from all remote modules
channel.subscribe('network', handlerFunction);
```

OR

```js
// Subscribe to the postBlock event from a remote chain module
channel.subscribe('network:receive:chain:postBlock', handlerFunction);

// Subscribe to all remote events from all remote modules
channel.subscribe('network:receive', handlerFunction);
```

OR

```js
// Subscribe to the postBlock event from a remote chain module
channel.subscribe('network:receive::chain:postBlock', handlerFunction);

// Subscribe to all remote events from all remote modules
channel.subscribe('network:receive', handlerFunction);
```

OR

```js
// Subscribe to the postBlock event from a remote chain module
channel.subscribe('network:receive/chain:postBlock', handlerFunction);

// Subscribe to all remote events from all remote modules
channel.subscribe('network:receive', handlerFunction);
```

Publishing remote event to a peer:

```js
channel.invoke('network:publish', {
  event: 'chain:postBlock',
  data: {}
});
```

Also, we should consider whether or not it makes sense to allow a client to subscribe to all remote events from a specific module or we want to force them to specify the exact event.",50873641
232,Correct use of rejects across Jest test suite,open,2019-04-04T11:43:44Z,2019-04-15T08:06:13Z,,NONE,"### Expected behavior

https://github.com/LiskHQ/lisk/pull/3247/commits/ed10f642cd7bb601123859c2dd07272e60a07d6c

### Actual behavior
We don't always write `await` when using `rejects`.
https://github.com/LiskHQ/lisk/blob/390a9e6f9f614ab49d8c4cee055726da6c3cd110/framework/test/jest/specs/unit/controller/bus.spec.js#L63

### Steps to reproduce

We receive false positives after changing the above to
```
	// Act && Assert
	expect(
	     bus.registerChannel(moduleAlias, [], actions)
	).rejects.toBeInstanceOf('###### ---> MYERROR###');
```

### Which version(s) does this affect? (Environment, OS, etc...)
`1.6`
",,50873641
233,Provide ability to extend state with custom properties,open,2019-03-29T14:15:00Z,2019-11-12T12:53:46Z,,NONE,"### Expected behavior

Create a method to extend the application state with custom properties without overwriting the existing ones.

```js
state = { 
 modules: { 
   unicorns: 'xx', 
   zebras: 'yy' ,
  }
}
```

### Actual behavior
> 
> let state = {
... modules: {
..... unicorns: 'xx'
..... }}
> 
> newExtensionForState = {
... modules: {
..... zebras: 'yy'}}
{ modules: { zebras: 'yy' } }
>
> Object.assign(state, newExtensionForState)
{ modules: { zebras: 'yy' } }
> 
> 
> state
{ modules: { zebras: 'yy' } }

### Which version(s) does this affect? (Environment, OS, etc...)
`1.7`
",,50873641
234,PM2 does not show CPU and Memory usage when using `npm start`,open,2019-03-29T11:50:09Z,2019-04-16T07:28:21Z,,CONTRIBUTOR,"### Expected behavior
I expect to be able to start PM2 with `pm2 start npm -- start -- -n testnet` and have CPU and memory usage properly displayed with `pm2 monit`

### Actual behavior
When PM2 starts the application using `npm start` it forks the application and its monitoring tool looks for npm pid instead of application pid.

### Steps to reproduce
`pm2 start npm -- start -- -n testnet`
`pm2 monit`

### Which version(s) does this affect? (Environment, OS, etc...)
1.6",REF.: https://github.com/LiskHQ/lisk/issues/3215,50873641
235,Application don't cleanup when exit running npm start,open,2019-03-28T11:06:23Z,2019-07-03T16:23:25Z,,CONTRIBUTOR,"### Expected behavior
I expect the application to do the cleanup when running with `npm start`

### Actual behavior
When starting the application with `node src/index.js`, it properly does the cleanup when it exits.
But when starting the application with `npm start`, it doesn't.

### Steps to reproduce
Starting the application with `npm start`.
Exit the application with `ctrl + C`

### Which version(s) does this affect? (Environment, OS, etc...)
1.6",,50873641
236,Prevent application from crashing if child process crashes,open,2019-03-21T15:24:57Z,2019-04-15T08:08:46Z,,CONTRIBUTOR,"### Expected behavior
I expect the parent process to keep running if a child process exits.

### Actual behavior
It crashed the parent process

### Steps to reproduce
Run the application and kill httpApi process.

### Which version(s) does this affect? (Environment, OS, etc...)
`feature/child_process_module`",Reopen as per https://github.com/LiskHQ/lisk/issues/3191,50873641
237,Integration test `ChildProcessChannel` class and `InMemoryChannel` class,open,2019-03-20T08:43:01Z,2019-10-25T10:34:32Z,,CONTRIBUTOR,"### Expected behavior
Expect to `ChildProcessChannel` class and `InMemoryChannel` class to be covered by integration tests using Jest framework

### Actual behavior
It doesn't

## Acceptance Criteria
- [x] Add Integration tests for InMemoryChannel #3186 
- [ ] Add Integration tests for ChildProcessChannel #3675 

### Which version(s) does this affect? (Environment, OS, etc...)
`feature/child_process_module`","All work done on #3675 will be kept in https://github.com/LiskHQ/lisk-sdk/tree/3118-integration-test-ChildProcessChannel branch. So when issue #3674 was resolved, maybe we can reuse some of the code here. @lsilvs ",50873641
238,Add a new sorting method to the Transactions endpoint,open,2019-03-16T13:39:50Z,2019-04-16T07:28:40Z,,NONE,"### Add a new sorting method

Sorting by timestamp descending does not always show the latest transactions broadcasted to the blockchain.

For example:
`https://testnet.lisk.io/api/transactions?limit=10&offset=0&sort=timestamp%3Adesc`

should show the latest transactions. But since it's easy to fake a timestamp, for instance by changing the computers clock back a few days and then performing a transaction, this sorting method isn't the most reliable.

I recommend adding sorting by **Height** to the available options, since this might be a more reliable method to discover the latest transactions. 

Adding the following options:

_height:asc
height:desc_
",Related issue: https://github.com/LiskHQ/lisk/issues/1891,50873641
239,Limit log history to a certain amount of days,open,2019-01-27T13:16:49Z,2020-01-31T09:41:43Z,,NONE,"Feature request: Limit log history to a certain amount of days

### Expected behavior

lisk.log ""should"" only store a log of the last n days.

### Actual behavior

By default and left alone, lisk.log grows infinitely. 

### Steps to reproduce

Install and run core, set fileLogLevel to debug and leave the server alone until hard drive is full.

### Reason for request

Several users running core reported that their server logs quickly fill up the hard drive. Which will cause the node to go offline. 

Example:
![image](https://user-images.githubusercontent.com/42899281/51801004-6c2e5700-2238-11e9-8baf-1436af50fd08.png)

There is a solution using logrotate, but the solution to this issue could be greatly simplified for the user by expanding config with the option: logFileHistoryLength.

Example:
![image](https://user-images.githubusercontent.com/42899281/51801210-055e6d00-223b-11e9-8f9b-5dd070793153.png)
",It is indeed a good idea to rotate the log files and we explain how to do so with `logrorate` in the [documentation](https://lisk.io/documentation/lisk-core/setup/binary#logrotate-setup).,50873641
240,Update filters generators to provide more flexible format,open,2019-01-15T08:43:55Z,2019-04-15T08:07:16Z,,CONTRIBUTOR,"Currently the filters generation support the following syntax. 

```
(a = 1 AND b = 2) OR (a = 2 AND b = 3)
```

We need to support following syntax as well: 

```
(a = 1 OR b = 2) AND (a = 2 OR b = 3)
```
or mix of both

```
(a = 1 OR b = 2) AND ( (a = 1 AND b = 2) OR (a = 2 AND b = 3) )
```
","Its a nice to have feature, and should be implemented in following pattern later in some time. 

```
	/**
	 * Parse provided filters and generate valid SQL
	 *
	 * @param {string|Object|Array.<Object>} filters
	 * @param {Object} options
	 * @param {string} options.filterPrefix
	 * @return {string}
	 *
	 * @description
	 *
	 * * Filters can be provided as strings or object or array of objects and strings
	 * * Object type filters will always be combined with *AND* combinator
	 * * Array type filters will always be combined with *OR* combinator
	 * * String values type (AND, OR) can be added as array elements to and used a combinator
	 *
	 * @example
	 * Filters can provided in following format to generate these conditions
	 *
	 * 		{a: 1, b: 2} 						-> (a = 1 AND b = 2)
	 * 		[{a: 1, b: 2}, {c: 3}] 				-> (a = 1 AND b = 2) OR (c = 3)
	 * 		[[{a: 1}, {b: 2}], {c: 3}] 		-> (a = 1 OR b = 2) OR (c = 3)
	 * 		[[{a: 1}, {b: 2}], 'AND', {c: 3}] 		-> (a = 1 OR b = 2) AND (c = 3)
	 */
```",50873641
241,Add an API endpoint to get the balance of an account at a specific unix timestamp,open,2018-11-20T14:17:49Z,2020-01-31T09:41:54Z,,NONE,"### Expected behavior
It would be useful to get the balance of an account at a specific timestamp in the past.
The existing api endpoint `/accounts` could be extended by an additional optional argument `atTimestamp` (or similar)

### Actual behavior
Now it's only possible to get the current balance with `/accounts?address=5726759782318848681L`. To figure out the balance at a time in the past, you have to track all transactions on this account since the beginning and also consider forging rewards and fees if it is a delegate account.

### Steps to reproduce
call `/accounts?address=5726759782318848681L` and try to figure out what it's balance was on 31st of December 2017

### Which version(s) does this affect? (Environment, OS, etc...)
All core versions",,50873641
242,Inconsitency with timestamps in API parameters,open,2018-10-18T19:42:19Z,2020-01-31T09:41:54Z,,CONTRIBUTOR,"### Expected behavior
API parameters containing timestamps should be consistent across all API endpoints.
### Actual behavior
We have inconsistency with those parameters. Swagger definitions describe `fromTimestamp` and `toTimestamp` as Unix timestamps here:
https://github.com/LiskHQ/lisk/blob/01dc88cc34cc20d88658f6ed8fb4ef827658c868/schema/swagger.yml#L1172-L1183
Also `timestamp` parameter for `transactions` endpoint is described as Unix timestamp here:
https://github.com/LiskHQ/lisk/blob/01dc88cc34cc20d88658f6ed8fb4ef827658c868/schema/swagger.yml#L1258-L1263
This is only true for `/delegates/{address}/forging_statistics` endpoint. For other endpoints (`blocks`, `transactions`) those parameters are accepting Lisk Timestamp format and not Unix timestamp, as described here:
https://github.com/LiskHQ/lisk/blob/01dc88cc34cc20d88658f6ed8fb4ef827658c868/schema/swagger.yml#L46-L50

My recommendation is fixing the descriptions and make `fromTimestamp` and `toTimestamp` of `forging_statistics` accept Lisk Timestamp format. We can add `fromUnixTimestamp` and `toUnixTimestamp` for accepting timestamps in Unix format. This will change the API behavior, so fix should go with the major version.
### Steps to reproduce
N/A
### Which version(s) does this affect? (Environment, OS, etc...)
`>= 1.0.0`","As pointed by @4miners, the change would break the public API. Suspended for now.",50873641
